cust_id,lookalikes
C0001,"[('C0137', 0.9999196989131426), ('C0152', 0.9998360806822545), ('C0107', 0.9879272238731843)]"
C0002,"[('C0142', 0.976639238739811), ('C0043', 0.9722585493140278), ('C0128', 0.921224915906046)]"
C0003,"[('C0133', 0.9950073885620306), ('C0052', 0.9670218091254766), ('C0112', 0.9497789338103734)]"
C0004,"[('C0108', 0.9814012933872766), ('C0113', 0.978655434420513), ('C0155', 0.9674355733515105)]"
C0005,"[('C0159', 0.9995139993894759), ('C0123', 0.9844928420962453), ('C0186', 0.9780489489194415)]"
C0006,"[('C0158', 0.9754580720473783), ('C0168', 0.9714545742353556), ('C0171', 0.9414375793312064)]"
C0007,"[('C0140', 0.9832281290025161), ('C0080', 0.9567747915342584), ('C0078', 0.956319009439119)]"
C0008,"[('C0109', 0.9821207351804042), ('C0139', 0.9701602268357323), ('C0098', 0.9520869969240865)]"
C0009,"[('C0121', 0.9753181318452808), ('C0010', 0.9695289400218753), ('C0060', 0.9673864620122185)]"
C0010,"[('C0199', 0.9939227850054726), ('C0121', 0.9716025832521046), ('C0009', 0.9695289400218753)]"
C0011,"[('C0107', 0.9981813693329502), ('C0048', 0.9977348210609567), ('C0152', 0.9805096405447654)]"
C0012,"[('C0155', 0.9819705270568626), ('C0102', 0.9736636725583755), ('C0153', 0.9711555042433117)]"
C0013,"[('C0087', 0.9904245844159724), ('C0155', 0.9848651117967769), ('C0099', 0.9842183876997689)]"
C0014,"[('C0198', 0.9871583684290062), ('C0060', 0.979948458576694), ('C0009', 0.953590654409505)]"
C0015,"[('C0144', 0.9947939141052609), ('C0036', 0.9794799752974352), ('C0058', 0.9761717427234954)]"
C0016,"[('C0183', 0.9999334680069497), ('C0067', 0.9337753495122418), ('C0026', 0.9316303421846092)]"
C0017,"[('C0124', 0.9801404545711819), ('C0075', 0.9788774306915978), ('C0051', 0.9024565541387062)]"
C0018,"[('C0079', 0.9495357248588009), ('C0117', 0.9479605637431932), ('C0016', 0.9299947319912206)]"
C0019,"[('C0172', 0.9999899379454007), ('C0111', 0.9639573310781117), ('C0103', 0.9461042530413368)]"
C0020,"[('C0144', 0.9412055727899684), ('C0042', 0.935180955434207), ('C0176', 0.9332408708329203)]"
